date,pump_index,std_rush_order,avg_rush_order,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,hour_sin,hour_cos,minute_sin,minute_cos,symbol,gt
2021-05-19 13:20:00,50,0.265,0.037,0.238,0.095,0.055,0.076,0.011,0.011,-0.398,-0.917,0.848,-0.530,ETH,0
2021-05-19 13:20:00,51,-0.210,0.071,-0.206,-0.015,0.077,0.088,0.011,0.011,-0.398,-0.917,0.848,-0.530,ETH,0
2021-05-19 13:20:25,51,-0.017,0.015,-0.091,-0.092,0.054,0.011,0.010,0.011,-0.398,-0.917,0.848,-0.530,ETH,0
2021-05-19 13:20:50,51,0.195,0.027,0.046,0.122,0.078,-0.075,0.009,0.010,-0.398,-0.917,0.848,-0.530,ETH,0
2021-05-19 13:22:05,52,-0.274,0.035,-0.458,-0.182,0.026,0.010,-0.000,0.001,-0.398,-0.917,0.716,-0.698,ETH,0
2021-05-19 13:22:30,52,-0.039,0.003,-0.038,-0.070,0.026,-0.026,0.002,0.002,-0.398,-0.917,0.716,-0.698,ETH,0
2021-05-19 13:22:55,52,0.027,-0.002,0.213,0.108,-0.023,-0.005,0.001,0.001,-0.398,-0.917,0.716,-0.698,ETH,0
2021-05-19 13:22:55,53,-0.500,0.050,-0.596,-0.279,0.037,0.001,-0.000,0.001,-0.398,-0.917,0.716,-0.698,ETH,0
2021-05-19 13:23:20,53,0.007,-0.025,0.007,-0.013,0.005,0.010,-0.002,-0.003,-0.398,-0.917,0.638,-0.770,ETH,0
2021-05-19 13:23:45,53,0.134,-0.017,0.226,0.261,-0.044,-0.019,-0.004,-0.004,-0.398,-0.917,0.638,-0.770,ETH,0
2021-05-19 13:27:05,54,-0.046,0.034,-0.045,-0.013,0.070,0.195,0.005,0.005,-0.398,-0.917,0.263,-0.965,ETH,0
2021-05-19 13:27:30,54,0.018,0.008,0.035,-0.000,0.004,0.097,0.006,0.006,-0.398,-0.917,0.263,-0.965,ETH,0
2021-05-19 13:27:55,54,-0.091,0.016,0.099,-0.034,0.079,-0.050,0.006,0.006,-0.398,-0.917,0.263,-0.965,ETH,0
2021-05-19 13:30:00,55,-0.455,0.056,-0.427,-0.104,0.083,0.164,-0.001,-0.001,-0.398,-0.917,-0.053,-0.999,ETH,0
2021-05-19 13:30:25,55,0.013,-0.011,-0.078,-0.230,-0.122,0.063,-0.001,-0.002,-0.398,-0.917,-0.053,-0.999,ETH,0
2021-05-19 13:30:50,55,0.308,-0.028,0.395,0.055,-0.075,0.010,-0.002,-0.002,-0.398,-0.917,-0.053,-0.999,ETH,0
2021-05-19 13:32:55,56,-0.415,0.066,-0.391,-0.167,0.070,0.241,0.003,0.003,-0.398,-0.917,-0.263,-0.965,ETH,0
2021-05-19 13:33:20,56,0.036,0.011,0.353,1.050,0.255,0.157,0.005,0.005,-0.398,-0.917,-0.364,-0.931,ETH,0
2021-05-19 13:33:45,56,0.000,0.000,0.002,0.000,-0.002,0.131,0.007,0.006,-0.398,-0.917,-0.364,-0.931,ETH,0
2021-05-19 13:35:50,57,-0.482,0.065,-0.395,-0.101,0.091,-0.217,0.002,0.002,-0.398,-0.917,-0.553,-0.833,ETH,0
2021-05-19 13:36:15,57,-0.212,-0.037,-0.011,0.028,-0.040,0.022,-0.000,-0.001,-0.398,-0.917,-0.638,-0.770,ETH,0
2021-05-19 13:36:40,57,0.006,-0.003,0.002,0.047,0.058,0.103,-0.002,-0.002,-0.398,-0.917,-0.638,-0.770,ETH,0
2021-05-19 13:47:05,58,0.287,0.048,0.122,0.068,0.079,0.197,-0.007,-0.006,-0.398,-0.917,-0.957,0.289,ETH,0
